community_area,income,unemployment_rate,hardship_index
Rogers Park,23939,8.7,39.0
West Ridge,23040,8.8,46.0
Uptown,35787,8.9,20.0
Lincoln Square,37524,8.2,17.0
North Center,57123,5.2,6.0
Lake View,60058,4.7,5.0
Lincoln Park,71551,5.1,2.0
Near North Side,88669,7.0,1.0
Edison Park,40959,6.5,8.0
Norwood Park,32875,9.0,21.0
Jefferson Park,27751,12.4,25.0
Forest Glen,44164,6.8,11.0
North Park,26576,9.9,33.0
Albany Park,21323,10.0,53.0
Portage Park,24336,12.6,35.0
Irving Park,27249,10.0,34.0
Dunning,26282,10.0,28.0
Montclaire,22014,13.8,50.0
Belmont Cragin,15461,14.6,70.0
Hermosa,15089,13.1,71.0
Avondale,20039,9.2,42.0
Logan Square,31908,8.2,23.0
Humboldt park,13781,17.3,85.0
West Town,43198,6.6,10.0
Austin,15957,22.6,73.0
West Garfield Park,10934,25.8,92.0
East Garfield Park,12961,19.6,83.0
Near West Side,44689,10.7,15.0
North Lawndale,12034,21.2,87.0
South Lawndale,10402,15.8,96.0
Lower West Side,16444,15.8,76.0
Loop,65526,5.7,3.0
Near South Side,59077,4.9,7.0
Armour Square,16148,16.7,82.0
Douglas,23791,18.2,47.0
Oakland,19252,28.7,78.0
Fuller Park,10432,33.9,97.0
Grand Boulevard,23472,24.3,57.0
Kenwood,35911,15.7,26.0
Washington Park,13785,28.6,88.0
Hyde Park,39056,8.4,14.0
Woodlawn,18672,23.4,58.0
South Shore,19398,20.0,55.0
Chatham,18881,24.0,60.0
Avalon Park,24454,21.1,41.0
South Chicago,16579,19.7,75.0
Burnside,12515,18.6,79.0
Calumet Heights,28887,20.0,38.0
Roseland,17949,20.3,52.0
Pullman,20588,22.8,51.0
South Deering,14685,16.3,65.0
East Side,17104,12.1,64.0
West Pullman,16563,19.4,62.0
Riverdale,8201,34.6,98.0
Hegewisch,22677,9.6,44.0
Garfield Ridge,26353,11.3,32.0
Archer Heights,16134,16.5,67.0
Brighton Park,13089,13.9,84.0
McKinley Park,16954,13.4,61.0
Bridgeport,22694,13.7,43.0
New City,12765,23.0,91.0
West Elsdon,15754,16.7,69.0
Gage Park,12171,18.2,93.0
Clearing,25113,9.5,29.0
West Lawn,16907,9.6,56.0
Chicago Lawn,13231,17.1,80.0
West Englewood,11317,35.9,89.0
Englewood,11888,28.0,94.0
Greater Grand Crossing,17285,23.0,66.0
Ashburn,23482,11.7,37.0
Auburn Gresham,15528,28.3,74.0
Beverly,39523,8.0,12.0
Washington Height,19713,20.8,48.0
Mount Greenwood,34381,8.7,16.0
Morgan Park,27149,15.0,30.0
O'Hare,25828,7.1,24.0
Edgewater,33385,9.2,19.0
CHICAGO,28202,12.9,
